email,{L8C8-Y5RH10TK-8516RGZE},06/17/2010 09:06:37,GTD0219,PC-6425,Frances.Alisa.Wiggins@dtaa.com,,Gareth.Thomas.Dickson@dtaa.com,Gareth.Thomas.Dickson@dtaa.com,18363,0,too much my work not appreciated no gratitude company will suffer company will suffer my work not appreciated i work holidays i work weekends company will suffer company will suffer complaints i may leave i work after-hours i work holidays i work after-hours i work weekends fed up i may leave company will suffer complaints my work not appreciated i work holidays too much i work holidays i work weekends i work after-hours my work not appreciated fed up fed up i work holidays i work weekends i work after-hours i work holidays i work after-hours i work after-hours complaints i work after-hours too much i work after-hours fed up i work holidays i work holidays complaints i work weekends company will suffer i work weekends no gratitude complaints company will suffer fed up my work not appreciated fed up i work after-hours my work not appreciated fed up
email,{C3W6-Y0TB53GQ-3215KTTT},06/17/2010 10:57:44,FAW0032,PC-5866,Gareth.Thomas.Dickson@dtaa.com,,,Frances.Alisa.Wiggins@dtaa.com,21159,0,training you are appreciated rest rest schedule training you are appreciated hard job training good work valued employee schedule you are appreciated rest rest rest hard job you are appreciated hard job valued employee hard job vacation valued employee valued employee hard job you are appreciated you are appreciated valued employee valued employee hard job hard job valued employee hard job rest hard job lets talk hard job lets talk
email,{M7L8-W9AT86YU-6111RXPY},06/17/2010 11:55:22,GTD0219,PC-6425,Frances.Alisa.Wiggins@dtaa.com,,Gareth.Thomas.Dickson@dtaa.com,Gareth.Thomas.Dickson@dtaa.com,26232,0,not my fault not my fault take me seriously i will leave outraged bad things i will leave outraged angry i will leave i am irreplaceable exacerbated angry i will leave bad things not my fault exacerbated i will leave angry bad things i will leave exacerbated take me seriously i will leave i will leave angry two faced exacerbated i am irreplaceable i am irreplaceable two faced angry exacerbated not my fault i will leave outraged outraged i am irreplaceable outraged not my fault i will leave not my fault bad things angry
email,{F7G4-C2IM19DP-9477DFCY},06/17/2010 13:35:53,FAW0032,PC-5866,Gareth.Thomas.Dickson@dtaa.com,,,Frances.Alisa.Wiggins@dtaa.com,22906,4,unrelenting training assistance no one is irreplaceable take some time off no one is irreplaceable lets talk today unrelenting training operose no one is irreplaceable valued employee unrelenting no one is irreplaceable training valued employee valued employee take some time off you are diligent you are diligent training lets talk today promote unrelenting promote lets talk today demanding job valued employee lets talk today valued employee lets talk today lets talk today
http,{V1X3-E3WK59GM-5109PXOM},06/17/2010 14:17:26,GTD0219,PC-6425,http://www.wellresearchedreviews.com/computer-monitoring/Climate_of_Alabama/windiest/NNXrlybttre316167347.html,free keyboard undetectable advanced username keylogging undetectable surveillance easy advanced undetectable keylogging email covert easy effective stealth username surveillance email email free pc undetectable gui program gui illegal keyboard password easy undetectable email useful covert pc free covert captured hidden malware hidden free malware illegal stealth covert pc file pc
http,{T9R8-N0CA47HP-0908UVMW},06/17/2010 14:18:49,GTD0219,PC-6425,http://www.best-spy-soft.com/Climate_of_New_York/snowiest/NNXrlybttre1474475829.aspx,easy advanced captured program everything password advanced easy file program password malware file surveillance effective keylogging program file pc trial undetectable secure useful captured useful protect download advanced free monitor protect captured stealth free illegal download activity easy effective captured hidden pc password password
http,{Q0K9-Y5NI14BJ-8173IAWM},06/17/2010 14:19:20,GTD0219,PC-6425,http://download.cnet.com/Refog-Free-Keylogger/Climate_of_Ohio/snowiest/NNXrlybttre1252221508.aspx,effective monitor captured protect useful keylogging free malware undetectable recommend program covert advanced free secure recommend stealth useful pc recommend password keylogging program captured free download download free advanced recommend monitor covert keyboard malware download recommend
http,{B9G5-L2BE25BL-7692QSAM},06/17/2010 14:22:57,GTD0219,PC-6425,http://www.spectorsoft.com/products/SpectorPro_Windows/snowiest/NNXrlybttre143309341.php,advanced easy activity password keyboard hidden gui keylogging illegal free keylogging undetectable program keylogging secure email malware captured program useful useful pc everything stealth download undetectable captured undetectable keylogging effective recommend hidden advanced stealth secure protect everything username recommend stealth surveillance program free file download password recommend
http,{B6Z7-K6OD43WW-7198GZVN},06/17/2010 14:25:57,GTD0219,PC-6425,http://www.keylogpc.com/Climate_of_Texas/snowiest/NNXrlybttre1822019970.php,pc easy effective easy download free keyboard protect undetectable hidden hidden recommend download gui file monitor stealth keylogging keyboard undetectable undetectable download program easy undetectable covert protect secure download free program recommend
http,{C5H2-R7TH21EG-7957QXIN},06/17/2010 14:26:57,GTD0219,PC-6425,http://www.relytec.com/Climate_of_Florida/suniest/NNXrlybttre1893061997.aspx,hidden advanced download surveillance username keyboard keyboard advanced keyboard email password captured hidden everything surveillance file undetectable useful free recommend undetectable effective easy free free monitor undetectable recommend undetectable keyboard stealth surveillance protect recommend recommend everything easy everything free secure email recommend pc surveillance username covert free easy password password
http,{G7J1-Q5GT01ML-1679SSDB},06/17/2010 14:28:04,GTD0219,PC-6425,http://www.refog.com/free-keylogger/Climate_of_Utah/dryest/NNXrlybttre757488686.php,easy keylogging recommend username keylogging secure easy effective easy covert protect secure download everything keylogging covert surveillance advanced pc secure undetectable everything captured trial file username surveillance secure activity free email free everything easy easy surveillance file username surveillance free advanced undetectable advanced pc free captured username keylogging password
http,{C9T3-U0AE32FM-9371ODPY},06/17/2010 14:29:00,GTD0219,PC-6425,http://www.keylogpc.com/Climate_of_Texas/snowiest/NNXrlybttre1822019970.php,secure download activity covert monitor captured pc illegal easy hidden keylogging password secure keylogging password effective pc password malware email secure effective pc password trial easy keyboard keyboard program undetectable download captured easy surveillance hidden monitor captured illegal
device,{B6E1-W1TA18EJ-7602UXUS},06/17/2010 15:04:33,GTD0219,PC-6425,Connect
file,{V8U7-S1VH94XJ-9439FHZH},06/17/2010 15:14:29,GTD0219,PC-6425,L51C89H0.exe,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 protect keylogging recommend covert undetectable keyboard surveillance username activity program download pc password pc gui effective pc monitor captured advanced pc everything malware trial monitor keyboard easy hidden everything effective protect pc monitor pc surveillance easy keylogging protect everything easy stealth keyboard download easy program captured effective illegal
device,{A2N5-U7KR30US-2042JSYA},06/17/2010 15:18:42,GTD0219,PC-6425,Disconnect
logon,{M4P0-K8SS54WV-7558WCJC},06/17/2010 18:11:13,GTD0219,PC-5866,Logon
device,{Y8T1-I2ZG20MO-4310ARNQ},06/17/2010 18:19:05,GTD0219,PC-5866,Connect
device,{T1J8-W7TD86VS-5157MPHQ},06/17/2010 18:22:23,GTD0219,PC-5866,Disconnect
logon,{I2M5-D8YL30EC-3139VLJY},06/17/2010 18:24:01,GTD0219,PC-5866,Logoff
logon,{R3I0-B5XQ37UP-4353QDTF},06/18/2010 17:25:59,GTD0219,PC-5866,Logon
logon,{K7O7-B0VQ12RM-7783SZUO},06/18/2010 17:36:08,GTD0219,PC-5866,Logoff
logon,{B6Z6-A7NW63LF-0484QAYF},06/18/2010 17:41:14,FAW0032,PC-5866,Logon
email,{S8S3-D4DH40DJ-0944FQJF},06/18/2010 17:48:23,FAW0032,PC-5866,Jack.Carlos.Cannon@dtaa.com;Medge.Serina.Obrien@dtaa.com;Megan.Simone.Hess@dtaa.com;Cyrus.Connor.Atkinson@dtaa.com;Byron.Armand.Livingston@dtaa.com;Meghan.Phoebe.Macias@dtaa.com;Kendall.Ciaran.Frank@dtaa.com,Ursula.Idona.Richard@dtaa.com;Quemby.Nita.Pollard@dtaa.com;Mariko.Olga.Snyder@dtaa.com;Gareth.Thomas.Dickson@dtaa.com,,Frances.Alisa.Wiggins@dtaa.com,33848,0,project reallocate intention budget reassign down size refocus reallocate cancelled notice disolve project notice notice hr hr terminated terminated rescind reassign project cancelled reassign intention project intention budget cancelled disolve funding terminated hr project hr down size budget budget cancelled project funding rescind project rescind down size funding budget terminated reallocate reallocate terminated reassign project project intention terminated refocus budget notice funding intention notice hr refocus project notice disolve down size down size funding
logon,{F0S7-H0FB84GU-2311WDFJ},06/18/2010 17:50:42,FAW0032,PC-5866,Logoff
